Year,quarter,gear,LengthClass,natlen,tot
2017,1,Demersal Trawl,380,453.460039355346,94460
2017,1,Demersal Trawl,400,2518.02429666107,94460
2017,1,Demersal Trawl,420,7520.15072958805,94460
2017,1,Demersal Trawl,440,12823.1247035742,94460
2017,1,Demersal Trawl,460,15330.9955912806,94460
2017,1,Demersal Trawl,480,7957.34287592433,94460
2017,1,Demersal Trawl,500,9508.83083606335,94460
2017,1,Demersal Trawl,520,9921.43556137834,94460
2017,1,Demersal Trawl,540,4406.61046621201,94460
2017,1,Demersal Trawl,560,4375.64136766752,94460
2017,1,Demersal Trawl,580,3750.64813008301,94460
2017,1,Demersal Trawl,600,2611.6601574964,94460
2017,1,Demersal Trawl,620,356.932021495595,94460
2017,1,Demersal Trawl,640,3160.49812917673,94460
2017,1,Demersal Trawl,660,1118.22661428576,94460
2017,1,Demersal Trawl,680,2127.46824826919,94460
2017,1,Demersal Trawl,700,4127.83935564499,94460
2017,1,Demersal Trawl,720,629.021664175927,94460
2017,1,Demersal Trawl,740,730.27830602354,94460
2017,1,Demersal Trawl,760,1.2,94460
2017,1,Demersal Trawl,780,730.27830602354,94460
2017,1,Demersal Trawl,940,300.332599620505,94460
2017,1,Gill Nets,340,0.0972271471267335,23868
2017,1,Gill Nets,360,346.943102942902,23868
2017,1,Gill Nets,380,0.0972271471267335,23868
2017,1,Gill Nets,400,1139.99676964214,23868
2017,1,Gill Nets,420,3905.65503619859,23868
2017,1,Gill Nets,440,4216.40519977451,23868
2017,1,Gill Nets,460,3170.94485160456,23868
2017,1,Gill Nets,480,1131.65982180385,23868
2017,1,Gill Nets,500,1641.36833454077,23868
2017,1,Gill Nets,520,1639.43411796769,23868
2017,1,Gill Nets,540,872.409636874658,23868
2017,1,Gill Nets,560,1684.17365232403,23868
2017,1,Gill Nets,580,2159.64270925065,23868
2017,1,Gill Nets,600,414.717296982602,23868
2017,1,Gill Nets,620,514.591867471181,23868
2017,1,Gill Nets,640,43.5912837653168,23868
2017,1,Gill Nets,660,212.608903137675,23868
2017,1,Gill Nets,680,314.261835108448,23868
2017,1,Gill Nets,700,1.458407206901,23868
2017,1,Gill Nets,720,21.212278999898,23868
2017,1,Gill Nets,740,0.777817177013868,23868
2017,1,Gill Nets,780,0.291681441380201,23868
2017,1,Gill Nets,820,0.0972271471267335,23868
2017,1,Gill Nets,940,435.563714343848,23868
2017,1,Hooks and Lines,380,530.855385329619,NA
2017,1,Hooks and Lines,400,NA,NA
2017,1,Hooks and Lines,420,NA,NA
2017,1,Hooks and Lines,440,NA,NA
2017,1,Hooks and Lines,460,NA,NA
2017,1,Hooks and Lines,480,NA,NA
2017,1,Hooks and Lines,500,NA,NA
2017,1,Hooks and Lines,520,NA,NA
2017,1,Hooks and Lines,540,NA,NA
2017,1,Hooks and Lines,560,NA,NA
2017,1,Hooks and Lines,580,NA,NA
2017,1,Hooks and Lines,600,NA,NA
2017,1,Hooks and Lines,620,NA,NA
2017,1,Hooks and Lines,640,NA,NA
2017,1,Hooks and Lines,660,NA,NA
2017,1,Hooks and Lines,680,NA,NA
2017,1,Hooks and Lines,700,NA,NA
2017,1,Hooks and Lines,720,NA,NA
2017,1,Hooks and Lines,740,NA,NA
2017,1,Hooks and Lines,760,NA,NA
2017,1,Hooks and Lines,780,251.336908077994,NA
2017,1,Hooks and Lines,800,188.883333333333,NA
2017,1,Hooks and Lines,820,31.2267873723306,NA
2017,1,Hooks and Lines,840,188.883333333333,NA
2017,1,Other,360,1212.10001192321,26957
2017,1,Other,380,218.079595333584,26957
2017,1,Other,400,1458.10185332542,26957
2017,1,Other,420,8353.63647198288,26957
2017,1,Other,440,1618.48443600247,26957
2017,1,Other,460,3744.09792151395,26957
2017,1,Other,480,710.502238853011,26957
2017,1,Other,500,4053.39543995739,26957
2017,1,Other,520,216.027437271502,26957
2017,1,Other,540,1642.63997759302,26957
2017,1,Other,560,1403.61869770796,26957
2017,1,Other,580,320.89628591981,26957
2017,1,Other,600,59.7745482714278,26957
2017,1,Other,620,1488.34164581775,26957
2017,1,Other,640,93.6442327526805,26957
2017,1,Other,660,256.333072447612,26957
2017,1,Other,680,57.3034294943537,26957
2017,1,Other,700,15.1198962461652,26957
2017,1,Other,720,20.9416845514753,26957
2017,1,Other,760,13.9611230343169,26957
2017,1,Pelagic Trawl,380,5.43958868894602,NA
2017,1,Pelagic Trawl,400,NA,NA
2017,1,Pelagic Trawl,420,NA,NA
2017,1,Pelagic Trawl,440,NA,NA
2017,1,Pelagic Trawl,460,NA,NA
2017,1,Pelagic Trawl,480,NA,NA
2017,1,Pelagic Trawl,500,NA,NA
2017,1,Pelagic Trawl,520,NA,NA
2017,1,Pelagic Trawl,540,NA,NA
2017,1,Pelagic Trawl,560,NA,NA
2017,1,Pelagic Trawl,580,NA,NA
2017,1,Pelagic Trawl,600,NA,NA
2017,1,Pelagic Trawl,620,NA,NA
2017,1,Pelagic Trawl,640,NA,NA
2017,1,Pelagic Trawl,660,16.318766066838,NA
2017,1,Pelagic Trawl,680,NA,NA
2017,1,Pelagic Trawl,760,5.43958868894602,NA
2017,1,Pelagic Trawl,780,5.43958868894602,NA
2017,1,Pelagic Trawl,840,5.43958868894602,NA
2017,1,Seines,380,2968.46381354777,18218
2017,1,Seines,400,6926.4155649448,18218
2017,1,Seines,420,2968.46381354777,18218
2017,1,Seines,460,931.136704375085,18218
2017,1,Seines,480,465.568352187543,18218
2017,1,Seines,500,465.568352187543,18218
2017,1,Seines,520,931.136704375085,18218
2017,1,Seines,560,465.568352187543,18218
2017,1,Seines,600,523.919585661715,18218
2017,1,Seines,620,1571.75875698514,18218
2017,2,Demersal Trawl,260,47.0016308046805,26270
2017,2,Demersal Trawl,300,195.866796175865,26270
2017,2,Demersal Trawl,320,0.00446573220393312,26270
2017,2,Demersal Trawl,340,330.527752373427,26270
2017,2,Demersal Trawl,360,282.303103997653,26270
2017,2,Demersal Trawl,380,300.269519266887,26270
2017,2,Demersal Trawl,400,688.227966466296,26270
2017,2,Demersal Trawl,420,1486.36658524886,26270
2017,2,Demersal Trawl,440,2938.76914530196,26270
2017,2,Demersal Trawl,460,2466.44958951384,26270
2017,2,Demersal Trawl,480,1431.31835880726,26270
2017,2,Demersal Trawl,500,2057.02959482738,26270
2017,2,Demersal Trawl,520,1271.63222427254,26270
2017,2,Demersal Trawl,540,1880.27668951457,26270
2017,2,Demersal Trawl,560,5563.46454554379,26270
2017,2,Demersal Trawl,580,1166.29522722402,26270
2017,2,Demersal Trawl,600,931.509508809199,26270
2017,2,Demersal Trawl,620,695.954195551064,26270
2017,2,Demersal Trawl,640,625.097159394574,26270
2017,2,Demersal Trawl,660,405.135915883452,26270
2017,2,Demersal Trawl,680,175.679780822368,26270
2017,2,Demersal Trawl,700,283.889053840463,26270
2017,2,Demersal Trawl,720,416.313714425985,26270
2017,2,Demersal Trawl,740,345.010506633076,26270
2017,2,Demersal Trawl,760,109.736129063238,26270
2017,2,Demersal Trawl,780,128.864743968467,26270
2017,2,Demersal Trawl,800,0.00148857740131104,26270
2017,2,Demersal Trawl,820,0.00148857740131104,26270
2017,2,Demersal Trawl,840,47.0016308046805,26270
2017,2,Demersal Trawl,940,0.00148857740131104,26270
2017,2,Gill Nets,340,0.89832981736003,49326
2017,2,Gill Nets,360,1.79665963472006,49326
2017,2,Gill Nets,380,0.89832981736003,49326
2017,2,Gill Nets,400,138.755903142432,49326
2017,2,Gill Nets,420,4503.34334333858,49326
2017,2,Gill Nets,440,4522.58286788147,49326
2017,2,Gill Nets,460,5095.44841178534,49326
2017,2,Gill Nets,480,2711.11055563086,49326
2017,2,Gill Nets,500,2767.09103223767,49326
2017,2,Gill Nets,520,2815.26932213351,49326
2017,2,Gill Nets,540,2750.71264104738,49326
2017,2,Gill Nets,560,2938.76096286035,49326
2017,2,Gill Nets,580,2765.95069301575,49326
2017,2,Gill Nets,600,2463.85473588783,49326
2017,2,Gill Nets,620,2803.08647934898,49326
2017,2,Gill Nets,640,2369.796907323,49326
2017,2,Gill Nets,660,3861.75650818504,49326
2017,2,Gill Nets,680,3488.48422365465,49326
2017,2,Gill Nets,700,1440.34162541206,49326
2017,2,Gill Nets,720,621.395918627388,49326
2017,2,Gill Nets,740,822.539026054117,49326
2017,2,Gill Nets,780,308.452134770294,49326
2017,2,Gill Nets,820,130.978398941784,49326
2017,2,Gill Nets,940,2.69498945208009,49326
2017,2,Hooks and Lines,340,203.107236316596,NA
2017,2,Hooks and Lines,380,360.148721200694,NA
2017,2,Hooks and Lines,400,NA,NA
2017,2,Hooks and Lines,420,NA,NA
2017,2,Hooks and Lines,440,NA,NA
2017,2,Hooks and Lines,460,NA,NA
2017,2,Hooks and Lines,480,NA,NA
2017,2,Hooks and Lines,500,NA,NA
2017,2,Hooks and Lines,520,NA,NA
2017,2,Hooks and Lines,540,NA,NA
2017,2,Hooks and Lines,560,NA,NA
2017,2,Hooks and Lines,580,NA,NA
2017,2,Hooks and Lines,600,NA,NA
2017,2,Hooks and Lines,620,NA,NA
2017,2,Hooks and Lines,640,NA,NA
2017,2,Hooks and Lines,660,NA,NA
2017,2,Hooks and Lines,680,NA,NA
2017,2,Hooks and Lines,700,836.76693041047,NA
2017,2,Hooks and Lines,720,500.627321736156,NA
2017,2,Hooks and Lines,740,NA,NA
2017,2,Hooks and Lines,760,NA,NA
2017,2,Hooks and Lines,780,87.6800900935886,NA
2017,2,Hooks and Lines,800,25.0514543124539,NA
2017,2,Hooks and Lines,820,25.0514543124539,NA
2017,2,Hooks and Lines,840,25.0514543124539,NA
2017,2,Other,360,155.016304801029,66730
2017,2,Other,380,77.5081524005144,66730
2017,2,Other,400,16482.4142096607,66730
2017,2,Other,420,6972.65614059283,66730
2017,2,Other,440,6959.61699013534,66730
2017,2,Other,460,3933.05874610066,66730
2017,2,Other,480,5822.62073724805,66730
2017,2,Other,500,4364.15339751734,66730
2017,2,Other,520,3688.11591695878,66730
2017,2,Other,540,3902.2908511408,66730
2017,2,Other,560,3935.8831655509,66730
2017,2,Other,580,3174.58955889492,66730
2017,2,Other,600,1308.43787131563,66730
2017,2,Other,620,1866.68286932482,66730
2017,2,Other,640,1705.76456962007,66730
2017,2,Other,660,845.877751567491,66730
2017,2,Other,680,958.632204210838,66730
2017,2,Other,700,167.882658099514,66730
2017,2,Other,720,232.524457201543,66730
2017,2,Other,760,176.273447658172,66730
2017,2,Pelagic Trawl,380,14.3477143176484,954
2017,2,Pelagic Trawl,400,76.5834689053645,954
2017,2,Pelagic Trawl,420,276.013780741734,954
2017,2,Pelagic Trawl,440,141.784848221419,954
2017,2,Pelagic Trawl,460,136.428477991795,954
2017,2,Pelagic Trawl,480,39.211467531016,954
2017,2,Pelagic Trawl,500,63.1587289759862,954
2017,2,Pelagic Trawl,520,35.4195985412035,954
2017,2,Pelagic Trawl,540,43.073225455253,954
2017,2,Pelagic Trawl,560,18.2363134342569,954
2017,2,Pelagic Trawl,580,46.9650658817977,954
2017,2,Pelagic Trawl,600,38.7698835529393,954
2017,2,Pelagic Trawl,620,7.20556031610016,954
2017,2,Pelagic Trawl,640,2.39074550128535,954
2017,2,Pelagic Trawl,660,6.24926211558602,954
2017,2,Pelagic Trawl,680,1.91259640102828,954
2017,2,Pelagic Trawl,760,0.478149100257069,954
2017,2,Pelagic Trawl,780,0.478149100257069,954
2017,2,Pelagic Trawl,840,5.29296391507188,954
2017,2,Seines,380,NA,NA
2017,2,Seines,400,NA,NA
2017,2,Seines,420,NA,NA
2017,2,Seines,460,NA,NA
2017,2,Seines,480,NA,NA
2017,2,Seines,500,NA,NA
2017,2,Seines,520,NA,NA
2017,2,Seines,560,NA,NA
2017,2,Seines,600,NA,NA
2017,2,Seines,620,NA,NA
2017,3,Demersal Trawl,300,10.880701754386,21958
2017,3,Demersal Trawl,320,70.033409610984,21958
2017,3,Demersal Trawl,340,203.968726163234,21958
2017,3,Demersal Trawl,360,931.001746495173,21958
2017,3,Demersal Trawl,380,1779.75608248507,21958
2017,3,Demersal Trawl,400,2429.45751840055,21958
2017,3,Demersal Trawl,420,997.792295017905,21958
2017,3,Demersal Trawl,440,3670.03021154455,21958
2017,3,Demersal Trawl,460,676.534567678567,21958
2017,3,Demersal Trawl,480,2468.20903717927,21958
2017,3,Demersal Trawl,500,798.86815708687,21958
2017,3,Demersal Trawl,520,1400.66004435098,21958
2017,3,Demersal Trawl,540,1351.73017003389,21958
2017,3,Demersal Trawl,560,528.646470937464,21958
2017,3,Demersal Trawl,580,915.366742944317,21958
2017,3,Demersal Trawl,600,285.668150135459,21958
2017,3,Demersal Trawl,620,791.509850713741,21958
2017,3,Demersal Trawl,640,1900.49473684211,21958
2017,3,Demersal Trawl,680,737.591380625477,21958
2017,3,Demersal Trawl,760,9.8,21958
2017,3,Gill Nets,340,586.408207405568,NA
2017,3,Gill Nets,360,4.70530370002402,NA
2017,3,Gill Nets,380,2.35265185001201,NA
2017,3,Gill Nets,400,1068.54637392181,NA
2017,3,Gill Nets,420,10099.4788341693,NA
2017,3,Gill Nets,440,7973.74919769278,NA
2017,3,Gill Nets,460,NA,NA
2017,3,Gill Nets,480,2598.34066251304,NA
2017,3,Gill Nets,500,1665.12032225501,NA
2017,3,Gill Nets,520,1906.6543822697,NA
2017,3,Gill Nets,540,380.202006525568,NA
2017,3,Gill Nets,560,459.296788426427,NA
2017,3,Gill Nets,580,821.926274306037,NA
2017,3,Gill Nets,600,157.754114900439,NA
2017,3,Gill Nets,620,131.874944550307,NA
2017,3,Gill Nets,640,79.9901629004084,NA
2017,3,Gill Nets,660,141.285551950355,NA
2017,3,Gill Nets,680,95.2823999254864,NA
2017,3,Gill Nets,700,35.2897777501802,NA
2017,3,Gill Nets,720,893.387573711477,NA
2017,3,Gill Nets,740,18.8212148000961,NA
2017,3,Gill Nets,780,7.05795555003603,NA
2017,3,Gill Nets,820,2.35265185001201,NA
2017,3,Gill Nets,940,7.05795555003603,NA
2017,3,Hooks and Lines,340,11.7223602966875,NA
2017,3,Hooks and Lines,380,2963.83793646007,NA
2017,3,Hooks and Lines,400,5542.42368304159,NA
2017,3,Hooks and Lines,420,NA,NA
2017,3,Hooks and Lines,440,NA,NA
2017,3,Hooks and Lines,460,NA,NA
2017,3,Hooks and Lines,480,NA,NA
2017,3,Hooks and Lines,500,NA,NA
2017,3,Hooks and Lines,520,NA,NA
2017,3,Hooks and Lines,540,NA,NA
2017,3,Hooks and Lines,560,NA,NA
2017,3,Hooks and Lines,580,NA,NA
2017,3,Hooks and Lines,600,NA,NA
2017,3,Hooks and Lines,620,NA,NA
2017,3,Hooks and Lines,640,NA,NA
2017,3,Hooks and Lines,660,NA,NA
2017,3,Hooks and Lines,680,NA,NA
2017,3,Hooks and Lines,700,NA,NA
2017,3,Hooks and Lines,720,NA,NA
2017,3,Hooks and Lines,740,NA,NA
2017,3,Hooks and Lines,760,294.71019947254,NA
2017,3,Hooks and Lines,780,151.43501177933,NA
2017,3,Hooks and Lines,800,23.444720593375,NA
2017,3,Hooks and Lines,820,177.814135885729,NA
2017,3,Hooks and Lines,840,23.444720593375,NA
2017,3,Other,360,573.243426389509,53610
2017,3,Other,380,67.0076849815885,53610
2017,3,Other,400,1597.44094220654,53610
2017,3,Other,420,12369.6273106838,53610
2017,3,Other,440,11235.4695600708,53610
2017,3,Other,460,7319.62941331568,53610
2017,3,Other,480,5463.48674852177,53610
2017,3,Other,500,2379.44289369621,53610
2017,3,Other,520,3202.07397446064,53610
2017,3,Other,540,2240.46895504439,53610
2017,3,Other,560,1972.43821511804,53610
2017,3,Other,580,1493.19193350174,53610
2017,3,Other,600,573.786806497342,53610
2017,3,Other,620,759.331086211361,53610
2017,3,Other,640,898.90809402801,53610
2017,3,Other,660,434.209798680694,53610
2017,3,Other,680,550.06608601386,53610
2017,3,Other,700,145.138645670121,53610
2017,3,Other,720,201.023054944766,53610
2017,3,Other,760,134.015369963177,53610
2017,3,Pelagic Trawl,380,0.994858611825193,NA
2017,3,Pelagic Trawl,400,NA,NA
2017,3,Pelagic Trawl,420,NA,NA
2017,3,Pelagic Trawl,440,NA,NA
2017,3,Pelagic Trawl,460,NA,NA
2017,3,Pelagic Trawl,480,NA,NA
2017,3,Pelagic Trawl,500,NA,NA
2017,3,Pelagic Trawl,520,NA,NA
2017,3,Pelagic Trawl,540,NA,NA
2017,3,Pelagic Trawl,560,NA,NA
2017,3,Pelagic Trawl,580,9.94858611825193,NA
2017,3,Pelagic Trawl,600,12.9331619537275,NA
2017,3,Pelagic Trawl,620,4.97429305912596,NA
2017,3,Pelagic Trawl,640,NA,NA
2017,3,Pelagic Trawl,660,2.98457583547558,NA
2017,3,Pelagic Trawl,680,3.97943444730077,NA
2017,3,Pelagic Trawl,760,0.994858611825193,NA
2017,3,Pelagic Trawl,780,NA,NA
2017,3,Pelagic Trawl,840,0.994858611825193,NA
2017,3,Seines,380,559.703216573531,3435
2017,3,Seines,400,1305.97417200491,3435
2017,3,Seines,420,559.703216573531,3435
2017,3,Seines,460,175.56562627777,3435
2017,3,Seines,480,87.7828131388851,3435
2017,3,Seines,500,87.7828131388851,3435
2017,3,Seines,520,175.56562627777,3435
2017,3,Seines,560,87.7828131388851,3435
2017,3,Seines,600,98.7849257189587,3435
2017,3,Seines,620,296.354777156876,3435
2017,4,Demersal Trawl,260,0.0163743514144214,NA
2017,4,Demersal Trawl,300,0.051169848170067,NA
2017,4,Demersal Trawl,320,0.0491230542432643,NA
2017,4,Demersal Trawl,340,0.130994811315372,NA
2017,4,Demersal Trawl,360,NA,NA
2017,4,Demersal Trawl,380,NA,NA
2017,4,Demersal Trawl,400,873.520023334274,NA
2017,4,Demersal Trawl,420,3826.85176894323,NA
2017,4,Demersal Trawl,440,6021.95829681719,NA
2017,4,Demersal Trawl,460,8639.98411659174,NA
2017,4,Demersal Trawl,480,5096.32416905062,NA
2017,4,Demersal Trawl,500,4874.80070464215,NA
2017,4,Demersal Trawl,520,NA,NA
2017,4,Demersal Trawl,540,3463.1588861898,NA
2017,4,Demersal Trawl,560,5355.87240147642,NA
2017,4,Demersal Trawl,580,NA,NA
2017,4,Demersal Trawl,600,NA,NA
2017,4,Demersal Trawl,620,756.589122855852,NA
2017,4,Demersal Trawl,640,1758.93289025895,NA
2017,4,Demersal Trawl,660,NA,NA
2017,4,Demersal Trawl,680,631.673089457426,NA
2017,4,Demersal Trawl,700,84.6761802886104,NA
2017,4,Demersal Trawl,720,351.66786469005,NA
2017,4,Demersal Trawl,740,104.11522222672,NA
2017,4,Demersal Trawl,760,92.64559806821,NA
2017,4,Demersal Trawl,780,0.0889127281803084,NA
2017,4,Demersal Trawl,800,42.2012005664806,NA
2017,4,Demersal Trawl,820,49.7535965736366,NA
2017,4,Demersal Trawl,840,0.0163743514144214,NA
2017,4,Demersal Trawl,940,0.0163743514144214,NA
2017,4,Gill Nets,340,1.36158857719917,NA
2017,4,Gill Nets,360,NA,NA
2017,4,Gill Nets,380,NA,NA
2017,4,Gill Nets,400,66.2522805942125,NA
2017,4,Gill Nets,420,NA,NA
2017,4,Gill Nets,440,NA,NA
2017,4,Gill Nets,460,4562.12358490102,NA
2017,4,Gill Nets,480,NA,NA
2017,4,Gill Nets,500,NA,NA
2017,4,Gill Nets,520,NA,NA
2017,4,Gill Nets,540,NA,NA
2017,4,Gill Nets,560,NA,NA
